idx	headword	label	status	canon	slug	ch	v	url
129	Moabites	Numbers 22:1–6	OK	tanakh	numbers	22	1	/israelite-research/tanakh/chapter.html?book=numbers&ch=22#v1
130	Moon	Genesis 1:16	OK	tanakh	genesis	1	16	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v16
130	Moon	Psalm 104:19	OK	tanakh	psalms	104	19	/israelite-research/tanakh/chapter.html?book=psalms&ch=104#v19
130	Moon	Psalm 89:37	OK	tanakh	psalms	89	37	/israelite-research/tanakh/chapter.html?book=psalms&ch=89#v37
130	Moon	Isaiah 30:26	OK	tanakh	isaiah	30	26	/israelite-research/tanakh/chapter.html?book=isaiah&ch=30#v26
131	Moor	Jeremiah 13:23	OK	tanakh	jeremiah	13	23	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=13#v23
131	Moor	Jeremiah 38:7	OK	tanakh	jeremiah	38	7	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=38#v7
131	Moor	Acts 8:27	FAIL	newtestament	acts	8	27	None
131	Moor	Amos 9:7	OK	tanakh	amos	9	7	/israelite-research/tanakh/chapter.html?book=amos&ch=9#v7
132	Moses	Exodus 3:10–12	OK	tanakh	exodus	3	10	/israelite-research/tanakh/chapter.html?book=exodus&ch=3#v10
132	Moses	Deuteronomy 34:10	OK	tanakh	deuteronomy	34	10	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=34#v10
133	Mount Seir	Genesis 36:8–9	OK	tanakh	genesis	36	8	/israelite-research/tanakh/chapter.html?book=genesis&ch=36#v8
133	Mount Seir	Ezekiel 35:2–5	OK	tanakh	ezekiel	35	2	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=35#v2
134	Nabataeans	2 Maccabees 5:8	OK	tanakh	2-maccabees	5	8	/israelite-research/tanakh/chapter.html?book=2-maccabees&ch=5#v8
135	Nazareth	Matthew 2:23	FAIL	newtestament	matthew	2	23	None
135	Nazareth	Luke 4:16	FAIL	newtestament	luke	4	16	None
136	Negro	Acts 13:1	FAIL	newtestament	acts	13	1	None
137	Nineveh	Jonah 1:2	OK	tanakh	jonah	1	2	/israelite-research/tanakh/chapter.html?book=jonah&ch=1#v2
137	Nineveh	Nahum 1:1	OK	tanakh	nahum	1	1	/israelite-research/tanakh/chapter.html?book=nahum&ch=1#v1
138	Noah	Genesis 6:9	OK	tanakh	genesis	6	9	/israelite-research/tanakh/chapter.html?book=genesis&ch=6#v9
138	Noah	Genesis 9:1–9	OK	tanakh	genesis	9	1	/israelite-research/tanakh/chapter.html?book=genesis&ch=9#v1
139	Oppression	Isaiah 1:17	OK	tanakh	isaiah	1	17	/israelite-research/tanakh/chapter.html?book=isaiah&ch=1#v17
139	Oppression	Amos 5:11–12	OK	tanakh	amos	5	11	/israelite-research/tanakh/chapter.html?book=amos&ch=5#v11
140	Or (Disjunction)	Deuteronomy 30:15–19	OK	tanakh	deuteronomy	30	15	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=30#v15
140	Or (Disjunction)	Matthew 6:24	FAIL	newtestament	matthew	6	24	None
140	Or (Disjunction)	Joshua 24:15	OK	tanakh	joshua	24	15	/israelite-research/tanakh/chapter.html?book=joshua&ch=24#v15
141	Ostracon	Jeremiah 34:7	OK	tanakh	jeremiah	34	7	/israelite-research/tanakh/chapter.html?book=jeremiah&ch=34#v7
142	Ox	Deuteronomy 25:4	OK	tanakh	deuteronomy	25	4	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=25#v4
142	Ox	1 Kings 19:19	OK	tanakh	1-kings	19	19	/israelite-research/tanakh/chapter.html?book=1-kings&ch=19#v19
143	Papyrus	Isaiah 19:7	OK	tanakh	isaiah	19	7	/israelite-research/tanakh/chapter.html?book=isaiah&ch=19#v7
143	Papyrus	Job 8:11	OK	tanakh	job	8	11	/israelite-research/tanakh/chapter.html?book=job&ch=8#v11
144	Parthians	Acts 2:9	FAIL	newtestament	acts	2	9	None
145	Perizzites	Genesis 13:7	OK	tanakh	genesis	13	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=13#v7
145	Perizzites	Joshua 11:3	OK	tanakh	joshua	11	3	/israelite-research/tanakh/chapter.html?book=joshua&ch=11#v3
146	Persians	Ezra 1:1–3	OK	tanakh	ezra	1	1	/israelite-research/tanakh/chapter.html?book=ezra&ch=1#v1
146	Persians	Daniel 6:28	OK	tanakh	daniel	6	28	/israelite-research/tanakh/chapter.html?book=daniel&ch=6#v28
147	Philistines	Judges 13:1	OK	tanakh	judges	13	1	/israelite-research/tanakh/chapter.html?book=judges&ch=13#v1
147	Philistines	1 Samuel 17:4	OK	tanakh	1-samuel	17	4	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=17#v4
148	Phoenicians	1 Kings 5:1	OK	tanakh	1-kings	5	1	/israelite-research/tanakh/chapter.html?book=1-kings&ch=5#v1
148	Phoenicians	Mark 7:24	FAIL	newtestament	mark	7	24	None
149	Pigment	Genesis 2:7	OK	tanakh	genesis	2	7	/israelite-research/tanakh/chapter.html?book=genesis&ch=2#v7
150	Post Hoc (False Cause)	Luke 13:1–5	OK	new-testament	luke	13	1	/israelite-research/new-testament/chapter.html?book=luke&ch=13#v1
150	Post Hoc (False Cause)	Proverbs 14:15	OK	tanakh	proverbs	14	15	/israelite-research/tanakh/chapter.html?book=proverbs&ch=14#v15
151	Racism	Acts 17:26	OK	new-testament	acts	17	26	/israelite-research/new-testament/chapter.html?book=acts&ch=17#v26
151	Racism	James 2:9	OK	new-testament	james	2	9	/israelite-research/new-testament/chapter.html?book=james&ch=2#v9
152	Rain / Dew	Deuteronomy 11:14	OK	tanakh	deuteronomy	11	14	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=11#v14
152	Rain / Dew	Deuteronomy 32:2	OK	tanakh	deuteronomy	32	2	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=32#v2
152	Rain / Dew	Job 36:27–28	OK	tanakh	job	36	27	/israelite-research/tanakh/chapter.html?book=job&ch=36#v27
152	Rain / Dew	Zechariah 10:1	OK	tanakh	zechariah	10	1	/israelite-research/tanakh/chapter.html?book=zechariah&ch=10#v1
153	Rainbow (Covenant Sign)	Genesis 9:13–17	OK	tanakh	genesis	9	13	/israelite-research/tanakh/chapter.html?book=genesis&ch=9#v13
153	Rainbow (Covenant Sign)	Ezekiel 1:28	OK	tanakh	ezekiel	1	28	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=1#v28
153	Rainbow (Covenant Sign)	Revelation 4:3	FAIL	newtestament	revelation	4	3	None
153	Rainbow (Covenant Sign)	Revelation 10:1	FAIL	newtestament	revelation	10	1	None
154	Ram	Genesis 22:13	OK	tanakh	genesis	22	13	/israelite-research/tanakh/chapter.html?book=genesis&ch=22#v13
155	Ram (Daniel’s Vision)	Daniel 8:3–4	OK	tanakh	daniel	8	3	/israelite-research/tanakh/chapter.html?book=daniel&ch=8#v3
156	Reasoning	Isaiah 1:18	OK	tanakh	isaiah	1	18	/israelite-research/tanakh/chapter.html?book=isaiah&ch=1#v18
156	Reasoning	1 Thessalonians 5:21	OK	new-testament	1-thessalonians	5	21	/israelite-research/new-testament/chapter.html?book=1-thessalonians&ch=5#v21
156	Reasoning	Proverbs 3:21	OK	tanakh	proverbs	3	21	/israelite-research/tanakh/chapter.html?book=proverbs&ch=3#v21
157	Red Dragon	Revelation 12:3	FAIL	newtestament	revelation	12	3	None
157	Red Dragon	Revelation 12:9	FAIL	newtestament	revelation	12	9	None
157	Red Dragon	Revelation 13:1	FAIL	newtestament	revelation	13	1	None
157	Red Dragon	Revelation 17:9–12	FAIL	newtestament	revelation	17	9	None
157	Red Dragon	Genesis 25:25	OK	tanakh	genesis	25	25	/israelite-research/tanakh/chapter.html?book=genesis&ch=25#v25
157	Red Dragon	Isaiah 63:1–4	OK	tanakh	isaiah	63	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=63#v1
158	Red Herring	Proverbs 4:25–27	OK	tanakh	proverbs	4	25	/israelite-research/tanakh/chapter.html?book=proverbs&ch=4#v25
158	Red Herring	1 Timothy 1:4	OK	new-testament	1-timothy	1	4	/israelite-research/new-testament/chapter.html?book=1-timothy&ch=1#v4
159	Redemption	Exodus 6:6	OK	tanakh	exodus	6	6	/israelite-research/tanakh/chapter.html?book=exodus&ch=6#v6
159	Redemption	Luke 1:68	OK	new-testament	luke	1	68	/israelite-research/new-testament/chapter.html?book=luke&ch=1#v68
160	Romans	Luke 2:1	FAIL	newtestament	luke	2	1	None
160	Romans	John 11:48	FAIL	newtestament	john	11	48	None
161	Rome (Edom in later tradition)	Daniel 7:7	OK	tanakh	daniel	7	7	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v7
161	Rome (Edom in later tradition)	Luke 2:1	FAIL	newtestament	luke	2	1	None
162	Rome (Edomite Power)	Daniel 2:40	OK	tanakh	daniel	2	40	/israelite-research/tanakh/chapter.html?book=daniel&ch=2#v40
162	Rome (Edomite Power)	Daniel 7:7	OK	tanakh	daniel	7	7	/israelite-research/tanakh/chapter.html?book=daniel&ch=7#v7
162	Rome (Edomite Power)	Obadiah 1:10	OK	tanakh	obadiah	1	10	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v10
162	Rome (Edomite Power)	Luke 1:5	OK	new-testament	luke	1	5	/israelite-research/new-testament/chapter.html?book=luke&ch=1#v5
162	Rome (Edomite Power)	Revelation 13:1	FAIL	newtestament	revelation	13	1	None
163	Ruddy	1 Samuel 16:12	OK	tanakh	1-samuel	16	12	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=16#v12
163	Ruddy	1 Samuel 17:42	OK	tanakh	1-samuel	17	42	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=17#v42
163	Ruddy	Song of Songs 5:10	OK	tanakh	song-of-songs	5	10	/israelite-research/tanakh/chapter.html?book=song-of-songs&ch=5#v10
164	Ruddy	1 Samuel 16:12	OK	tanakh	1-samuel	16	12	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=16#v12
164	Ruddy	Song of Solomon 5:10	OK	tanakh	song-of-solomon	5	10	/israelite-research/tanakh/chapter.html?book=song-of-solomon&ch=5#v10
165	Samaria	1 Kings 16:24	OK	tanakh	1-kings	16	24	/israelite-research/tanakh/chapter.html?book=1-kings&ch=16#v24
165	Samaria	John 4:9	FAIL	newtestament	john	4	9	None
166	Samaritans	2 Kings 17:24	OK	tanakh	2-kings	17	24	/israelite-research/tanakh/chapter.html?book=2-kings&ch=17#v24
166	Samaritans	John 4:9	FAIL	newtestament	john	4	9	None
167	Scarlet Beast	Revelation 17:3–6	FAIL	newtestament	revelation	17	3	None
167	Scarlet Beast	Revelation 17:9–13	FAIL	newtestament	revelation	17	9	None
167	Scarlet Beast	Revelation 18:3	FAIL	newtestament	revelation	18	3	None
168	Seasons & Appointed Times (Moedim)	Genesis 1:14	OK	tanakh	genesis	1	14	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v14
168	Seasons & Appointed Times (Moedim)	Leviticus 23:2–4	OK	tanakh	leviticus	23	2	/israelite-research/tanakh/chapter.html?book=leviticus&ch=23#v2
168	Seasons & Appointed Times (Moedim)	Psalm 104:19	OK	tanakh	psalms	104	19	/israelite-research/tanakh/chapter.html?book=psalms&ch=104#v19
168	Seasons & Appointed Times (Moedim)	Colossians 2:16–17	OK	new-testament	colossians	2	16	/israelite-research/new-testament/chapter.html?book=colossians&ch=2#v16
169	Seraphim	Isaiah 6:1–7	OK	tanakh	isaiah	6	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=6#v1
170	Serpent	Genesis 3:1	OK	tanakh	genesis	3	1	/israelite-research/tanakh/chapter.html?book=genesis&ch=3#v1
170	Serpent	Numbers 21:8–9	OK	tanakh	numbers	21	8	/israelite-research/tanakh/chapter.html?book=numbers&ch=21#v8
171	Serpent (Symbolic)	Genesis 3:1–15	OK	tanakh	genesis	3	1	/israelite-research/tanakh/chapter.html?book=genesis&ch=3#v1
171	Serpent (Symbolic)	Numbers 21:6–9	OK	tanakh	numbers	21	6	/israelite-research/tanakh/chapter.html?book=numbers&ch=21#v6
171	Serpent (Symbolic)	John 8:44	FAIL	newtestament	john	8	44	None
171	Serpent (Symbolic)	Revelation 12:9	FAIL	newtestament	revelation	12	9	None
172	Servitude / Indentured Servitude	Leviticus 25:39–41	OK	tanakh	leviticus	25	39	/israelite-research/tanakh/chapter.html?book=leviticus&ch=25#v39
173	Seth	Genesis 4:25–26	OK	tanakh	genesis	4	25	/israelite-research/tanakh/chapter.html?book=genesis&ch=4#v25
173	Seth	Genesis 5:3–8	OK	tanakh	genesis	5	3	/israelite-research/tanakh/chapter.html?book=genesis&ch=5#v3
174	Shekel Weight	Genesis 23:16	OK	tanakh	genesis	23	16	/israelite-research/tanakh/chapter.html?book=genesis&ch=23#v16
174	Shekel Weight	Leviticus 27:25	OK	tanakh	leviticus	27	25	/israelite-research/tanakh/chapter.html?book=leviticus&ch=27#v25
175	Shemites / Semites	Genesis 10:21	OK	tanakh	genesis	10	21	/israelite-research/tanakh/chapter.html?book=genesis&ch=10#v21
175	Shemites / Semites	Genesis 11:10	OK	tanakh	genesis	11	10	/israelite-research/tanakh/chapter.html?book=genesis&ch=11#v10
176	Signet Ring	Genesis 41:42	OK	tanakh	genesis	41	42	/israelite-research/tanakh/chapter.html?book=genesis&ch=41#v42
176	Signet Ring	Esther 8:8	OK	tanakh	esther	8	8	/israelite-research/tanakh/chapter.html?book=esther&ch=8#v8
177	Signs in the Heavens	Genesis 1:14	OK	tanakh	genesis	1	14	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v14
177	Signs in the Heavens	Joel 2:30–31	OK	tanakh	joel	2	30	/israelite-research/tanakh/chapter.html?book=joel&ch=2#v30
177	Signs in the Heavens	Luke 21:25–27	OK	new-testament	luke	21	25	/israelite-research/new-testament/chapter.html?book=luke&ch=21#v25
177	Signs in the Heavens	Revelation 6:12–13	FAIL	newtestament	revelation	6	12	None
178	Slavery	Exodus 21:2–16	OK	tanakh	exodus	21	2	/israelite-research/tanakh/chapter.html?book=exodus&ch=21#v2
178	Slavery	Deuteronomy 15:12–18	OK	tanakh	deuteronomy	15	12	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=15#v12
179	Slippery Slope	Proverbs 19:2	OK	tanakh	proverbs	19	2	/israelite-research/tanakh/chapter.html?book=proverbs&ch=19#v2
179	Slippery Slope	Ecclesiastes 7:25	OK	tanakh	ecclesiastes	7	25	/israelite-research/tanakh/chapter.html?book=ecclesiastes&ch=7#v25
180	Stars	Genesis 1:16	OK	tanakh	genesis	1	16	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v16
180	Stars	Genesis 15:5	OK	tanakh	genesis	15	5	/israelite-research/tanakh/chapter.html?book=genesis&ch=15#v5
180	Stars	Job 38:7	OK	tanakh	job	38	7	/israelite-research/tanakh/chapter.html?book=job&ch=38#v7
180	Stars	Revelation 6:13	FAIL	newtestament	revelation	6	13	None
180	Stars	Revelation 12:4	FAIL	newtestament	revelation	12	4	None
181	Stela	Joshua 24:26	OK	tanakh	joshua	24	26	/israelite-research/tanakh/chapter.html?book=joshua&ch=24#v26
181	Stela	1 Samuel 7:12	OK	tanakh	1-samuel	7	12	/israelite-research/tanakh/chapter.html?book=1-samuel&ch=7#v12
182	Straw Man	Proverbs 18:13	OK	tanakh	proverbs	18	13	/israelite-research/tanakh/chapter.html?book=proverbs&ch=18#v13
182	Straw Man	Acts 25:7–8	OK	new-testament	acts	25	7	/israelite-research/new-testament/chapter.html?book=acts&ch=25#v7
183	Sudanese (Kushite Nubians)	2 Chronicles 14:9	OK	tanakh	2-chronicles	14	9	/israelite-research/tanakh/chapter.html?book=2-chronicles&ch=14#v9
183	Sudanese (Kushite Nubians)	Isaiah 18:1	OK	tanakh	isaiah	18	1	/israelite-research/tanakh/chapter.html?book=isaiah&ch=18#v1
184	Sun	Genesis 1:16–18	OK	tanakh	genesis	1	16	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v16
184	Sun	Psalm 19:4–6	OK	tanakh	psalms	19	4	/israelite-research/tanakh/chapter.html?book=psalms&ch=19#v4
184	Sun	Ecclesiastes 1:5	OK	tanakh	ecclesiastes	1	5	/israelite-research/tanakh/chapter.html?book=ecclesiastes&ch=1#v5
184	Sun	Malachi 4:2	OK	tanakh	malachi	4	2	/israelite-research/tanakh/chapter.html?book=malachi&ch=4#v2
185	Teman (Edom)	Amos 1:11–12	OK	tanakh	amos	1	11	/israelite-research/tanakh/chapter.html?book=amos&ch=1#v11
185	Teman (Edom)	Obadiah 1:8–9	OK	tanakh	obadiah	1	8	/israelite-research/tanakh/chapter.html?book=obadiah&ch=1#v8
186	Thunder & Lightning	Exodus 19:16	OK	tanakh	exodus	19	16	/israelite-research/tanakh/chapter.html?book=exodus&ch=19#v16
186	Thunder & Lightning	Job 37:2–5	OK	tanakh	job	37	2	/israelite-research/tanakh/chapter.html?book=job&ch=37#v2
186	Thunder & Lightning	Psalm 29:3–4	OK	tanakh	psalms	29	3	/israelite-research/tanakh/chapter.html?book=psalms&ch=29#v3
186	Thunder & Lightning	Revelation 4:5	FAIL	newtestament	revelation	4	5	None
188	Unclean Animals	Leviticus 11:9–31	OK	tanakh	leviticus	11	9	/israelite-research/tanakh/chapter.html?book=leviticus&ch=11#v9
188	Unclean Animals	Deuteronomy 14:9–20	OK	tanakh	deuteronomy	14	9	/israelite-research/tanakh/chapter.html?book=deuteronomy&ch=14#v9
189	Urim and Thummim	Exodus 28:30	OK	tanakh	exodus	28	30	/israelite-research/tanakh/chapter.html?book=exodus&ch=28#v30
189	Urim and Thummim	Numbers 27:21	OK	tanakh	numbers	27	21	/israelite-research/tanakh/chapter.html?book=numbers&ch=27#v21
190	Waters Above & Waters Below	Genesis 1:6–7	OK	tanakh	genesis	1	6	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v6
190	Waters Above & Waters Below	Psalm 148:4	OK	tanakh	psalms	148	4	/israelite-research/tanakh/chapter.html?book=psalms&ch=148#v4
190	Waters Above & Waters Below	Proverbs 8:28	OK	tanakh	proverbs	8	28	/israelite-research/tanakh/chapter.html?book=proverbs&ch=8#v28
190	Waters Above & Waters Below	2 Peter 3:5	OK	new-testament	2-peter	3	5	/israelite-research/new-testament/chapter.html?book=2-peter&ch=3#v5
191	Wind / Spirit (Ruach)	Genesis 1:2	OK	tanakh	genesis	1	2	/israelite-research/tanakh/chapter.html?book=genesis&ch=1#v2
191	Wind / Spirit (Ruach)	Ezekiel 37:9–10	OK	tanakh	ezekiel	37	9	/israelite-research/tanakh/chapter.html?book=ezekiel&ch=37#v9
191	Wind / Spirit (Ruach)	John 3:8	FAIL	newtestament	john	3	8	None
191	Wind / Spirit (Ruach)	Acts 2:2–4	OK	new-testament	acts	2	2	/israelite-research/new-testament/chapter.html?book=acts&ch=2#v2
